Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,CC0603JRX7R7BB105,148.0562,-76.7477,90.0,top
C10,1uF,CC0603JRX7R7BB105,223.8,-89.6142,-90.0,top
C2,10nF,C0402C103J4RACTU,159.7928,-80.95,0.0,top
C3,1uF,CC0603JRX7R7BB105,149.3597,-60.25,0.0,top
C4,100nF,CC0603KRX7R9BB104,153.5839,-74.2,180.0,top
C5,47nF,CAPC1608X90N,100.156,-60.925,0.0,top
C6,47nF,CAPC1608X90N,204.406,-60.925,0.0,top
C7,47nF,CAPC1608X90N,99.7249,-107.7025,0.0,top
C8,47nF,CAPC1608X90N,204.406,-107.6805,0.0,top
C9,100nF,CC0603KRX7R9BB104,226.45,-89.5642,-90.0,top
D1,REDLED,XL-1608SURC-06,102.255,-76.75,0.0,top
D10,BLUELED,150080BS75000_Modified,98.8562,-76.6579,0.0,top
D11,BLUELED,150080BS75000_Modified,135.0538,-76.6579,0.0,top
D12,BLUELED,150080BS75000_Modified,128.2562,-76.6579,0.0,top
D13,BLUELED,150080BS75000_Modified,179.6738,-76.6579,0.0,top
D14,BLUELED,150080BS75000_Modified,172.8762,-76.6579,0.0,top
D15,BLUELED,150080BS75000_Modified,210.0238,-76.6579,0.0,top
D16,BLUELED,150080BS75000_Modified,203.2262,-76.6579,0.0,top
D17,BLUELED,150080BS75000_Modified,105.5638,-123.6561,0.0,top
D18,BLUELED,150080BS75000_Modified,98.7662,-123.6561,0.0,top
D19,BLUELED,150080BS75000_Modified,134.9638,-123.6561,0.0,top
D2,REDLED,XL-1608SURC-06,131.655,-76.6579,0.0,top
D20,BLUELED,150080BS75000_Modified,128.1662,-123.6561,0.0,top
D21,BLUELED,150080BS75000_Modified,179.4038,-123.6561,0.0,top
D22,BLUELED,150080BS75000_Modified,172.6062,-123.6561,0.0,top
D23,BLUELED,150080BS75000_Modified,209.9138,-123.6561,0.0,top
D24,BLUELED,150080BS75000_Modified,203.1162,-123.6561,0.0,top
D3,REDLED,XL-1608SURC-06,176.275,-76.6581,0.0,top
D4,REDLED,XL-1608SURC-06,206.625,-76.6579,0.0,top
D5,REDLED,XL-1608SURC-06,102.165,-123.6302,0.0,top
D6,REDLED,XL-1608SURC-06,131.565,-123.6561,0.0,top
D7,REDLED,XL-1608SURC-06,176.005,-123.6563,0.0,top
D8,REDLED,XL-1608SURC-06,206.515,-123.6561,0.0,top
D9,BLUELED,150080BS75000_Modified,105.6538,-76.6579,0.0,top
Q1,AO3400A,AO3400A,102.5675,-94.0361,0.0,top
Q10,AO3400A,AO3400A,95.7225,-94.0361,0.0,top
Q11,AO3400A,AO3400A,138.6875,-94.2861,0.0,top
Q12,AO3400A,AO3400A,124.9975,-94.2861,0.0,top
Q13,AO3400A,AO3400A,182.8975,-94.0361,0.0,top
Q14,AO3400A,AO3400A,169.2075,-94.0361,0.0,top
Q15,AO3400A,AO3400A,213.5575,-94.0361,0.0,top
Q16,AO3400A,AO3400A,200.0675,-94.0361,0.0,top
Q17,AO3400A,AO3400A,108.965,-140.8,0.0,top
Q18,AO3400A,AO3400A,95.275,-140.8,0.0,top
Q19,AO3400A,AO3400A,138.5975,-140.8,0.0,top
Q2,AO3400A,AO3400A,131.8425,-94.2861,0.0,top
Q20,AO3400A,AO3400A,124.9075,-140.8,0.0,top
Q21,AO3400A,AO3400A,183.0375,-140.8,0.0,top
Q22,AO3400A,AO3400A,169.3475,-140.8,0.0,top
Q23,AO3400A,AO3400A,213.5475,-140.8,0.0,top
Q24,AO3400A,AO3400A,199.8575,-140.8,0.0,top
Q3,AO3400A,AO3400A,176.0525,-94.0361,0.0,top
Q4,AO3400A,AO3400A,206.9125,-94.0361,0.0,top
Q5,AO3400A,AO3400A,102.12,-140.8,0.0,top
Q6,AO3400A,AO3400A,131.7525,-140.8,0.0,top
Q7,AO3400A,AO3400A,176.1925,-140.8,0.0,top
Q8,AO3400A,AO3400A,206.7025,-140.8,0.0,top
Q9,AO3400A,AO3400A,109.4125,-94.0361,0.0,top
R1,360K,RC0603FR-07360KL,160.326,-78.6,0.0,top
R10,470R,RC0603FR-07470RL,206.515,-136.0477,0.0,top
R11,150R,RESC1607X60N,109.161,-81.8781,0.0,top
R12,150R,RESC1607X60N,95.471,-81.8781,0.0,top
R13,150R,RESC1607X60N,138.5,-82.1281,0.0,top
R14,150R,RESC1607X60N,124.81,-82.1281,0.0,top
R15,150R,RESC1607X60N,182.71,-81.8781,0.0,top
R16,150R,RESC1607X60N,169.02,-81.8781,0.0,top
R17,150R,RESC1607X60N,213.37,-81.8781,0.0,top
R18,150R,RESC1607X60N,199.88,-81.8781,0.0,top
R19,150R,RESC1607X60N,108.7775,-128.642,0.0,top
R2,10K,CRCW060310K0FKEA,160.305,-76.0,0.0,top
R20,150R,RESC1607X60N,95.0875,-128.642,0.0,top
R21,150R,RESC1607X60N,138.41,-128.642,0.0,top
R22,150R,RESC1607X60N,124.72,-128.642,0.0,top
R23,150R,RESC1607X60N,182.85,-128.642,0.0,top
R24,150R,RESC1607X60N,169.16,-128.642,0.0,top
R25,150R,RESC1607X60N,213.36,-136.0267,0.0,top
R26,150R,RESC1607X60N,199.67,-136.0267,0.0,top
R28,10K,CRCW060310K0FKEA,149.275,-66.6,0.0,top
R29,2.2K,RC0603FR-072K2L,104.051,-60.925,0.0,top
R3,470R,RC0603FR-07470RL,102.38,-81.8571,0.0,top
R30,2.2K,RC0603FR-072K2L,208.301,-60.925,0.0,top
R31,2.2K,RC0603FR-072K2L,104.1199,-107.7025,0.0,top
R32,2.2K,RC0603FR-072K2L,208.301,-107.7025,0.0,top
R33,10K,CRCW060310K0FKEA,101.9325,-132.3553,0.0,top
R34,100K,CRCW0603100KFKEA,102.38,-89.2838,0.0,top
R35,100K,CRCW0603100KFKEA,101.9325,-136.0477,0.0,top
R36,10K,CRCW060310K0FKEA,109.225,-85.5914,0.0,top
R37,10K,CRCW060310K0FKEA,182.71,-85.5914,0.0,top
R38,100K,CRCW0603100KFKEA,109.225,-89.2838,0.0,top
R39,10K,CRCW060310K0FKEA,108.7775,-132.3553,0.0,top
R4,470R,RC0603FR-07470RL,131.655,-82.1491,0.0,top
R40,100K,CRCW0603100KFKEA,182.71,-89.2838,0.0,top
R41,10K,CRCW060310K0FKEA,182.85,-132.3553,0.0,top
R42,100K,CRCW0603100KFKEA,108.7775,-136.0477,0.0,top
R43,10K,CRCW060310K0FKEA,213.36,-128.663,0.0,top
R44,100K,CRCW0603100KFKEA,182.85,-136.0477,0.0,top
R45,10K,CRCW060310K0FKEA,131.655,-85.8414,0.0,top
R46,100K,CRCW0603100KFKEA,213.36,-132.3553,0.0,top
R47,10K,CRCW060310K0FKEA,131.565,-132.3553,0.0,top
R48,100K,CRCW0603100KFKEA,131.655,-89.5338,0.0,top
R49,10K,CRCW060310K0FKEA,95.535,-85.5914,0.0,top
R5,470R,RC0603FR-07470RL,175.865,-81.8571,0.0,top
R50,100K,CRCW0603100KFKEA,131.565,-136.0477,0.0,top
R51,10K,CRCW060310K0FKEA,169.02,-85.5914,0.0,top
R52,100K,CRCW0603100KFKEA,95.535,-89.2838,0.0,top
R53,10K,CRCW060310K0FKEA,95.0875,-132.3553,0.0,top
R54,100K,CRCW0603100KFKEA,169.02,-89.2838,0.0,top
R55,10K,CRCW060310K0FKEA,169.16,-136.0477,0.0,top
R56,100K,CRCW0603100KFKEA,95.0875,-136.0477,0.0,top
R57,10K,CRCW060310K0FKEA,199.67,-128.663,0.0,top
R58,100K,CRCW0603100KFKEA,169.16,-132.3553,0.0,top
R59,10K,CRCW060310K0FKEA,175.865,-85.5914,0.0,top
R6,470R,RC0603FR-07470RL,206.725,-81.8991,0.0,top
R60,100K,CRCW0603100KFKEA,199.67,-132.3553,0.0,top
R61,10K,CRCW060310K0FKEA,176.005,-132.3553,0.0,top
R62,100K,CRCW0603100KFKEA,175.865,-89.2838,0.0,top
R63,10K,CRCW060310K0FKEA,138.5,-85.8414,0.0,top
R64,100K,CRCW0603100KFKEA,176.005,-136.0477,0.0,top
R65,10K,CRCW060310K0FKEA,213.37,-85.5914,0.0,top
R66,100K,CRCW0603100KFKEA,138.5,-89.5338,0.0,top
R67,10K,CRCW060310K0FKEA,138.41,-132.3553,0.0,top
R68,100K,CRCW0603100KFKEA,213.37,-89.2838,0.0,top
R69,10K,CRCW060310K0FKEA,206.725,-85.5914,0.0,top
R7,470R,RC0603FR-07470RL,101.9325,-128.663,0.0,top
R70,100K,CRCW0603100KFKEA,138.41,-136.0477,0.0,top
R71,10K,CRCW060310K0FKEA,124.72,-132.3553,0.0,top
R72,100K,CRCW0603100KFKEA,124.72,-136.0477,0.0,top
R73,10K,CRCW060310K0FKEA,199.88,-85.5914,0.0,top
R74,100K,CRCW0603100KFKEA,199.88,-89.2838,0.0,top
R75,10K,CRCW060310K0FKEA,124.81,-85.8414,0.0,top
R76,100K,CRCW0603100KFKEA,124.81,-89.5338,0.0,top
R77,10K,CRCW060310K0FKEA,206.515,-128.663,0.0,top
R78,100K,CRCW0603100KFKEA,206.515,-132.3553,0.0,top
R79,4.7K,CR0603-FX-4701ELF,222.35,-95.2865,0.0,top
R8,470R,RC0603FR-07470RL,131.565,-128.621,0.0,top
R80,100K,CRCW0603100KFKEA,206.725,-89.2838,0.0,top
R81,10K,CRCW060310K0FKEA,102.38,-85.5914,0.0,top
R82,4.7K,CR0603-FX-4701ELF,222.4,-92.6865,0.0,top
R83,10K,CRCW060310K0FKEA,225.7,-95.2865,0.0,top
R84,20K,CRCW060310K0FKEA,225.65,-92.6365,0.0,top
R9,470R,RC0603FR-07470RL,176.005,-128.663,0.0,top
U11,IS31FL3739-GRLS4-TR,IS31FL3730-QFLS2-TR,233.5028,-93.3158,0.0,top
U2,TLC555CDR,TLC555CDR,153.85,-78.2,0.0,top
U3,SN74HC08DR,SN74HC08DR,116.6599,-85.71,0.0,top
U4,SN74HC08DR,SN74HC08DR,191.0811,-85.71,0.0,top
U6,SN74HC08DR,SN74HC08DR,116.6599,-132.86,0.0,top
U7,SN74HC08DR,SN74HC08DR,191.1711,-132.86,0.0,top
